,setup_ms,elapsed_ms,dbRead_ms
0,677,640,37
1,765,1006,27
2,658,829,29
3,842,762,29
4,1134,778,35
5,539,557,28
6,538,695,28
7,527,692,27
8,541,665,30
9,538,627,30
10,573,698,29
11,540,601,30
12,531,736,28
13,524,620,28
14,545,572,29
15,646,669,27
16,536,765,29
17,527,661,28
18,557,669,27
19,528,596,28
20,546,660,28
21,534,605,28
22,515,681,28
23,548,643,28
24,511,719,29
25,529,715,28
26,552,586,28
27,511,563,79
28,522,624,35
29,633,587,29
30,526,675,25
31,542,661,28
32,527,691,28
33,550,564,25
34,545,704,28
35,514,648,29
36,545,573,28
37,541,591,28
38,507,582,34
39,703,628,28
40,515,556,28
41,527,580,28
42,539,630,30
43,536,685,27
44,517,656,28
45,524,555,25
46,532,598,28
47,513,594,28
48,546,723,28
49,526,625,28
50,528,667,31
51,529,586,28
52,532,664,28
53,516,706,28
54,517,659,28
55,522,679,31
56,540,682,28
57,537,644,28
58,543,655,28
59,523,763,28
60,516,646,30
61,635,731,30
62,533,609,28
63,520,590,28
64,530,640,33
65,528,691,29
66,526,674,28
67,531,559,28
68,583,627,29
69,519,614,28
70,524,611,28
71,533,691,28
72,519,760,28
73,544,680,34
74,537,666,30
75,545,680,28
76,532,703,29
77,525,730,28
78,519,687,28
79,510,585,27
80,530,551,28
81,526,630,29
82,536,579,28
83,514,600,27
84,539,572,28
85,545,631,28
86,515,661,25
87,527,642,28
88,526,676,29
89,531,671,27
90,522,636,27
91,525,690,28
92,601,677,28
93,623,759,28
94,589,680,32
95,798,1415,29
96,633,685,30
97,617,618,28
98,662,750,31
99,649,612,30
100,699,805,35
101,631,568,30
102,581,607,44
103,714,610,27
104,623,630,31
105,677,604,27
106,862,816,28
107,641,605,30
108,612,571,27
109,598,704,27
110,655,775,45
111,683,650,42
112,566,621,27
113,680,624,31
114,663,887,32
115,647,685,29
116,631,690,26
117,600,722,27
118,625,610,29
119,656,659,32
120,637,661,26
121,604,621,31
122,572,686,27
123,639,625,29
124,606,671,28
125,559,630,28
126,608,759,29
127,644,585,25
128,662,690,32
129,591,715,30
130,592,709,28
131,618,609,30
132,658,807,26
133,650,679,28
134,598,657,33
135,662,691,27
136,639,572,30
137,673,579,35
138,660,574,29
139,628,628,29
140,617,618,32
141,787,701,33
142,660,617,33
143,576,631,65
144,636,653,27
145,642,604,29
146,631,794,40
147,608,588,30
148,646,701,30
149,600,628,27
150,616,710,30
151,631,683,29
152,662,667,30
153,659,754,30
154,586,653,28
155,596,606,27
156,610,701,27
157,621,711,31
158,649,638,27
159,624,565,31
160,651,621,30
161,614,795,41
162,667,696,31
163,623,684,28
164,585,564,31
165,565,680,25
166,618,606,30
167,600,735,27
168,597,729,27
169,638,582,24
170,664,741,27
171,644,679,29
172,640,571,31
173,628,612,31
174,583,575,27
175,608,676,28
176,655,641,34
177,635,594,26
178,608,647,30
179,590,586,31
180,630,552,44
181,587,562,26
182,550,733,28
183,602,601,27
184,599,684,28
185,614,596,28
186,580,674,28
187,583,585,28
188,550,568,28
189,572,688,27
190,587,731,26
191,518,645,31
192,656,651,30
193,595,557,31
194,567,628,30
195,602,670,28
196,600,689,29
197,646,698,32
198,574,606,25
199,586,685,28
200,569,633,30
201,617,609,49
202,626,716,29
203,634,596,30
204,643,579,35
205,587,641,28
206,610,651,27
207,601,596,46
208,704,768,32
209,665,596,46
210,765,638,28
211,602,699,31
212,659,637,32
213,697,651,28
214,592,653,27
215,604,647,33
216,662,588,28
217,599,577,30
218,690,620,27
219,675,599,30
220,632,573,31
221,595,586,26
222,615,584,28
223,625,659,31
224,581,593,32
225,613,651,28
226,628,602,28
227,689,708,31
228,628,713,30
229,565,637,30
230,600,557,28
231,578,650,27
232,628,604,30
233,652,702,31
234,654,561,32
235,615,680,27
236,594,613,27
237,579,622,30
238,625,580,28
239,573,673,28
240,670,730,29
241,575,583,40
242,883,800,42
243,606,578,27
244,665,609,29
245,585,586,28
246,658,667,30
247,574,734,30
248,650,605,29
249,593,564,30
250,602,693,28
251,586,655,37
252,620,713,25
253,649,725,32
254,602,683,44
255,776,792,26
256,583,584,28
257,645,653,76
258,600,581,35
259,627,657,27
260,607,633,32
261,589,647,29
262,714,799,53
263,644,669,30
264,645,635,27
265,643,735,36
266,688,676,37
267,764,714,30
268,569,674,28
269,657,633,29
270,587,641,30
271,573,758,38
272,741,573,31
273,579,642,33
274,653,695,27
275,648,575,39
276,750,649,28
277,622,718,30
278,639,611,27
279,664,592,30
280,589,587,38
281,685,746,31
282,661,595,30
283,600,590,37
284,692,758,41
285,596,613,31
286,757,650,43
287,626,591,28
288,649,648,31
289,654,588,29
290,606,739,39
291,681,657,26
292,633,638,29
293,677,669,27
294,605,654,37
295,635,705,27
296,690,611,30
297,613,624,28
298,600,612,29
299,675,700,30
300,669,631,33
301,822,646,30
302,641,609,33
303,625,770,31
304,665,699,36
305,757,628,29
306,655,581,29
307,592,670,99
308,573,590,37
309,601,650,30
310,657,608,61
311,589,656,28
312,635,817,30
313,668,784,27
314,645,748,30
315,617,735,27
316,624,599,31
317,645,683,31
318,651,565,28
319,592,588,29
320,652,629,31
321,617,646,31
322,629,634,32
323,589,568,29
324,580,598,48
325,768,866,45
326,749,608,27
327,759,776,52
328,1047,759,47
329,751,704,49
330,749,677,27
331,639,596,27
332,600,568,27
333,576,630,28
334,576,690,30
335,654,591,29
336,659,600,27
337,601,648,35
338,657,637,27
339,596,669,27
340,655,659,29
341,564,588,30
342,662,728,25
343,606,613,27
344,660,686,30
345,594,673,30
346,658,576,29
347,570,641,27
348,687,584,32
349,585,573,27
350,638,767,29
351,587,595,27
352,618,608,31
353,595,609,28
354,609,686,29
355,661,671,32
356,711,694,35
357,713,764,29
358,623,729,27
359,588,700,32
360,594,703,29
361,611,740,29
362,650,644,29
363,592,575,35
364,620,687,29
365,660,582,34
366,673,718,31
367,599,595,33
368,601,704,27
369,653,586,30
370,660,593,33
371,611,559,29
372,593,627,26
373,626,608,30
374,672,588,38
375,753,655,42
376,746,665,27
377,623,724,27
378,655,576,33
379,656,575,27
380,653,633,29
381,607,581,38
382,698,760,31
383,574,734,28
384,688,588,30
385,602,613,29
386,612,618,35
387,676,758,31
388,598,666,29
389,636,738,33
390,638,598,35
391,580,674,26
392,591,580,27
393,631,588,31
394,665,608,66
395,603,644,27
396,605,723,29
397,656,629,29
398,602,572,28
399,624,766,31
400,645,592,33
401,593,632,28
402,590,608,31
403,621,580,42
404,612,619,31
405,621,651,28
406,706,712,31
407,572,641,28
408,630,589,31
409,571,723,31
410,677,627,28
411,611,635,30
412,640,636,26
413,596,756,30
414,654,731,31
415,596,575,28
416,648,711,29
417,639,704,34
418,577,738,29
419,676,642,28
420,605,690,31
421,671,610,29
422,587,692,28
423,632,700,31
424,658,702,31
425,696,667,50
426,740,732,50
427,579,698,26
428,670,764,26
429,745,568,28
430,695,658,29
431,641,580,36
432,788,703,29
433,585,671,28
434,651,624,34
435,628,646,25
436,585,710,28
437,637,706,27
438,654,619,26
439,691,575,53
440,711,625,27
441,580,603,31
442,690,612,31
443,662,617,28
444,649,689,31
445,592,595,28
446,658,726,29
