,setup_ms,elapsed_ms,dbRead_ms
0,605,5147,2616
1,599,4094,2788
2,592,4279,2439
3,555,3988,2757
4,559,3986,2530
5,555,4035,2445
6,559,3588,2644
7,552,4098,2435
8,561,3925,2653
9,480,4035,2418
10,559,4180,2739
11,566,3695,2882
12,560,3805,2676
13,553,3731,2445
14,558,4061,2756
15,578,3780,2419
16,562,4048,2635
17,553,3901,2447
18,552,3845,2761
19,487,3773,2442
20,564,4413,2627
21,558,3792,2861
22,551,3658,2675
23,556,3854,2505
24,566,4032,2751
25,773,4115,2407
26,569,4103,2506
27,562,4128,3029
28,794,4007,2521
29,574,4214,2762
30,476,3907,2562
31,567,3918,2725
32,549,4034,2399
33,557,3993,2787
34,559,3549,2813
35,561,4112,2773
36,557,4044,2628
37,563,4054,2677
38,553,3871,2386
39,565,3828,3074
40,663,5451,2451
41,552,4295,2685
42,479,3831,2427
43,553,3994,2386
44,553,3652,2860
45,552,3887,2699
46,555,4105,2440
47,558,3856,2636
48,477,4157,2470
49,560,3985,2494
50,479,3865,2650
51,486,3898,2454
52,570,4007,2509
53,497,3743,2508
54,475,4040,2731
55,483,4167,2754
56,559,3830,2364
57,551,3672,2667
58,482,3964,2384
59,559,4206,2769
60,558,4013,2472
61,560,3826,2841
62,476,4152,0
