method;no_wfs;time
ld;1;1652
ld;1;1229
ld;1;1109
ld;1;1479
ld;1;1166
ld;3;1204
ld;3;1640
ld;3;1810
ld;3;1426
ld;3;1309
ld;5;2641
ld;5;2974
ld;5;2284
ld;5;2642
ld;5;3483
ld;7;4055
ld;7;4023
ld;7;4450
ld;7;3753
ld;7;4589
ld;9;4427
ld;9;6612
ld;9;5238
ld;9;3800
ld;9;4259
cam;1;4643
cam;1;4479
cam;1;4776
cam;1;11246
cam;1;4302
cam;3;14412
cam;3;8912
cam;3;9612
cam;3;9557
cam;3;9229
cam;5;13805
cam;5;13718
cam;5;13980
cam;5;14202
cam;5;14069
cam;7;19637
cam;7;20102
cam;7;19488
cam;7;18807
cam;7;52949
cam;9;22938
cam;9;24400
cam;9;25349
cam;9;29688
cam;9;23920
